CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;Minimal conflicts - GPT
0;0;0;0;1,0;OpenAI Error
0;0;0;1;0,0;OpenAI Error
0;0;0;1;0,0;OpenAI Error
2;2;0;0;1,0;"A2, A4, O2
A1, A3, O1, O3"
0;0;0;0;1,0;OpenAI Error
0;0;0;1;0,0;OpenAI Error
0;0;0;2;0,0;OpenAI Error
0;0;0;3;0,0;OpenAI Error
0;0;0;0;1,0;OpenAI Error
0;0;0;2;0,0;OpenAI Error
2;2;0;0;1,0;"O3, O4
A1, A2, O1, O2, O4"
3;3;0;0;1,0;"O3, O4
A1, A2, O1, O2, O3
A1, A2, O1, O2, O4"
0;0;0;0;1,0;OpenAI Error
0;0;0;3;0,0;OpenAI Error
0;0;0;5;0,0;OpenAI Error
0;0;0;5;0,0;OpenAI Error
5;1;4;1;0,5;"A5, A6, O5
A1, A4, O1, O3, O5
A2, A3, A6, O2, O4
A1, A4, A5, A6, O1, O3
A2, A3, A5, O2, O4, O5"
0;0;0;2;0,0;OpenAI Error
0;0;0;3;0,0;OpenAI Error
0;0;0;5;0,0;OpenAI Error
0;0;0;0;1,0;OpenAI Error
0;0;0;1;0,0;OpenAI Error
0;0;0;5;0,0;OpenAI Error
0;0;0;3;0,0;OpenAI Error
0;0;0;5;0,0;OpenAI Error
0;0;0;4;0,0;OpenAI Error
0;0;0;1;0,0;OpenAI Error
0;0;0;5;0,0;OpenAI Error
0;0;0;0;1,0;OpenAI Error
0;0;0;2;0,0;OpenAI Error
0;0;0;2;0,0;OpenAI Error
0;0;0;3;0,0;OpenAI Error
0;0;0;0;1,0;OpenAI Error
0;0;0;2;0,0;OpenAI Error
0;0;0;1;0,0;OpenAI Error
0;0;0;3;0,0;OpenAI Error
0;0;0;0;1,0;OpenAI Error
0;0;0;1;0,0;OpenAI Error
0;0;0;0;1,0;OpenAI Error
0;0;0;1;0,0;OpenAI Error
0;0;0;0;1,0;OpenAI Error
0;0;0;1;0,0;OpenAI Error
