CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;Minimal conflicts - GPT;CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;Minimal conflicts - GPT;CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;Minimal conflicts - GPT;CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;Minimal conflicts - GPT;CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;Minimal conflicts - GPT;CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;Minimal conflicts - GPT;CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;Minimal conflicts - GPT;CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;Minimal conflicts - GPT;CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;Minimal conflicts - GPT;CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;Minimal conflicts - GPT
1;1;0;0;1,0;M1, M2, M5, M7;1;1;0;0;1,0;M1, M2, M5, M7;1;1;0;0;1,0;M1, M2, M5, M7;1;1;0;0;1,0;M1, M2, M5, M7;2;1;1;0;1,0;"M3, M4, M6
M1, M2, M5, M7";2;1;1;0;1,0;"M3, M4, M6
M1, M2, M5, M7";2;1;1;0;1,0;"M3, M4, M6
M1, M2, M5, M7";2;1;1;0;1,0;"M3, M4, M6
M1, M2, M5, M7";1;1;0;0;1,0;M1, M2, M5, M7;1;1;0;0;1,0;M1, M2, M5, M7
1;1;0;0;1,0;M3, M4, M6;1;1;0;0;1,0;M3, M4, M6;1;1;0;0;1,0;M3, M4, M6;1;1;0;0;1,0;M3, M4, M6;2;1;1;0;1,0;"M3, M4, M6
M1, M2, M5, M7";2;1;1;0;1,0;"M3, M4, M6
M1, M2, M5, M7";2;1;1;0;1,0;"M3, M4, M6
M1, M2, M5, M7";2;1;1;0;1,0;"M3, M4, M6
M1, M2, M5, M7";1;1;0;0;1,0;M3, M4, M6;1;1;0;0;1,0;M3, M4, M6
2;2;0;0;1,0;"M3, M4, M6
M1, M2, M5, M7";2;2;0;0;1,0;"M3, M4, M6
M1, M2, M5, M7";2;2;0;0;1,0;"M3, M4, M6
M1, M2, M5, M7";2;2;0;0;1,0;"M3, M4, M6
M1, M2, M5, M7";2;2;0;0;1,0;"M3, M4, M6
M1, M2, M5, M7";2;2;0;0;1,0;"M3, M4, M6
M1, M2, M5, M7";2;2;0;0;1,0;"M3, M4, M6
M1, M2, M5, M7";2;2;0;0;1,0;"M3, M4, M6
M1, M2, M5, M7";2;2;0;0;1,0;"M3, M4, M6
M1, M2, M5, M7";2;2;0;0;1,0;"M3, M4, M6
M1, M2, M5, M7"
0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;2;0;2;0;0,0;"A2, A4, M2
A1, A3, M1, M3";2;0;2;0;0,0;"A2, A4, M2
A1, A3, M1, M3";2;0;2;0;0,0;"A2, A4, M2
A1, A3, M1, M3";2;0;2;0;0,0;"A2, A4, M2
A1, A3, M1, M3";0;0;0;0;1,0;;0;0;0;0;1,0;
1;1;0;0;1,0;A2, A4, M2;1;1;0;0;1,0;A2, A4, M2;1;1;0;0;1,0;A2, A4, M2;1;1;0;0;1,0;A2, A4, M2;2;1;1;0;1,0;"A2, A4, M2
A1, A3, M1, M3";2;1;1;0;1,0;"A2, A4, M2
A1, A3, M1, M3";2;1;1;0;1,0;"A2, A4, M2
A1, A3, M1, M3";2;1;1;0;1,0;"A2, A4, M2
A1, A3, M1, M3";1;1;0;0;1,0;A2, A4, M2;1;1;0;0;1,0;A2, A4, M2
2;2;0;0;1,0;"A2, A4, M2
A1, A3, M1, M3";2;2;0;0;1,0;"A2, A4, M2
A1, A3, M1, M3";2;2;0;0;1,0;"A2, A4, M2
A1, A3, M1, M3";2;2;0;0;1,0;"A2, A4, M2
A1, A3, M1, M3";2;2;0;0;1,0;"A2, A4, M2
A1, A3, M1, M3";2;2;0;0;1,0;"A2, A4, M2
A1, A3, M1, M3";2;2;0;0;1,0;"A2, A4, M2
A1, A3, M1, M3";2;2;0;0;1,0;"A2, A4, M2
A1, A3, M1, M3";2;2;0;0;1,0;"A2, A4, M2
A1, A3, M1, M3";2;2;0;0;1,0;"A2, A4, M2
A1, A3, M1, M3"
1;1;0;0;1,0;A1, A3, M1, M3;1;1;0;0;1,0;A1, A3, M1, M3;1;1;0;0;1,0;A1, A3, M1, M3;1;1;0;0;1,0;A1, A3, M1, M3;2;1;1;0;1,0;"A2, A4, M2
A1, A3, M1, M3";2;1;1;0;1,0;"A2, A4, M2
A1, A3, M1, M3";2;1;1;0;1,0;"A2, A4, M2
A1, A3, M1, M3";2;1;1;0;1,0;"A2, A4, M2
A1, A3, M1, M3";1;1;0;0;1,0;A1, A3, M1, M3;1;1;0;0;1,0;A1, A3, M1, M3
0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;3;0;3;0;0,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";3;0;3;0;0,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";3;0;3;0;0,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";3;0;3;0;0,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";0;0;0;0;1,0;;0;0;0;0;1,0;
2;2;0;0;1,0;"A1, A2, A4, M1, M2
A1, A3, A4, M1, M3, M4";2;2;0;0;1,0;"A1, A2, A4, M1, M2
A1, A3, A4, M1, M3, M4";2;2;0;0;1,0;"A1, A2, A4, M1, M2
A1, A3, A4, M1, M3, M4";2;2;0;0;1,0;"A1, A2, A4, M1, M2
A1, A3, A4, M1, M3, M4";3;2;1;0;1,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";3;2;1;0;1,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";3;2;1;0;1,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";3;2;1;0;1,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";2;2;0;0;1,0;"A1, A2, A4, M1, M2
A1, A3, A4, M1, M3, M4";2;2;0;0;1,0;"A1, A2, A4, M1, M2
A1, A3, A4, M1, M3, M4"
2;2;0;0;1,0;"A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";2;2;0;0;1,0;"A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";2;2;0;0;1,0;"A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";2;2;0;0;1,0;"A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";3;2;1;0;1,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";3;2;1;0;1,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";3;2;1;0;1,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";3;2;1;0;1,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";2;2;0;0;1,0;"A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";2;2;0;0;1,0;"A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4"
3;3;0;0;1,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";3;3;0;0;1,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";3;3;0;0;1,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";3;3;0;0;1,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";3;3;0;0;1,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";3;3;0;0;1,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";3;3;0;0;1,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";3;3;0;0;1,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";3;3;0;0;1,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";3;3;0;0;1,0;"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4"
0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;3;0;3;0;0,0;"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";3;0;3;0;0,0;"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";3;0;3;0;0,0;"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";3;0;3;0;0,0;"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";0;0;0;0;1,0;;0;0;0;0;1,0;
2;2;0;0;1,0;"M3, M4
A1, A2, M1, M2, M3";2;2;0;0;1,0;"M3, M4
A1, A2, M1, M2, M3";2;2;0;0;1,0;"M3, M4
A1, A2, M1, M2, M3";2;2;0;0;1,0;"M3, M4
A1, A2, M1, M2, M3";3;2;1;0;1,0;"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";3;2;1;0;1,0;"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";3;2;1;0;1,0;"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";3;2;1;0;1,0;"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";2;2;0;0;1,0;"M3, M4
A1, A2, M1, M2, M3";2;2;0;0;1,0;"M3, M4
A1, A2, M1, M2, M3"
2;2;0;0;1,0;"M3, M4
A1, A2, M1, M2, M4";2;2;0;0;1,0;"M3, M4
A1, A2, M1, M2, M4";2;2;0;0;1,0;"M3, M4
A1, A2, M1, M2, M4";2;2;0;0;1,0;"M3, M4
A1, A2, M1, M2, M4";3;2;1;0;1,0;"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";3;2;1;0;1,0;"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";3;2;1;0;1,0;"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";3;2;1;0;1,0;"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";2;2;0;0;1,0;"M3, M4
A1, A2, M1, M2, M4";2;2;0;0;1,0;"M3, M4
A1, A2, M1, M2, M4"
2;2;0;0;1,0;"A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";2;2;0;0;1,0;"A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";2;2;0;0;1,0;"A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";2;2;0;0;1,0;"A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";3;2;1;0;1,0;"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";3;2;1;0;1,0;"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";3;2;1;0;1,0;"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";3;2;1;0;1,0;"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";2;2;0;0;1,0;"A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";2;2;0;0;1,0;"A1, A2, M1, M2, M3
A1, A2, M1, M2, M4"
0;0;0;0;1,0;;0;0;0;0;1,0;;2;0;2;0;0,0;"M3, M4
A1, A2, M1, M2, M3";0;0;0;0;1,0;;6;0;6;0;0,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";6;0;6;0;0,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";6;0;6;0;0,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";6;0;6;0;0,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";0;0;0;0;1,0;;0;0;0;0;1,0;
3;3;0;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A5, M2, M4, M5";3;3;0;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A5, M2, M4, M5";3;3;0;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A5, M2, M4, M5";3;3;0;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A5, M2, M4, M5";6;3;3;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";6;3;3;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";6;3;3;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";6;3;3;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";3;3;0;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A5, M2, M4, M5";3;3;0;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A5, M2, M4, M5"
4;4;0;0;1,0;"A5, A6, M5
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";4;4;0;0;1,0;"A5, A6, M5
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";4;4;0;0;1,0;"A5, A6, M5
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";3;3;0;1;0,75;"A5, A6, M5
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5";6;4;2;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";6;4;2;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";6;4;2;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";6;4;2;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";4;4;0;0;1,0;"A5, A6, M5
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";4;4;0;0;1,0;"A5, A6, M5
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4"
3;3;0;0;1,0;"A5, A6, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3";3;3;0;0;1,0;"A5, A6, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3";3;3;0;0;1,0;"A5, A6, M5
A1, A4, A5, A6, M1, M3
A2, A3, A6, M2, M4";3;2;1;1;0,6666666666666666;"A5, A6, M5
A2, A3, A5, M2, M4
A1, A4, A5, A6, M1, M3";6;3;3;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";6;3;3;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";6;3;3;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";6;3;3;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";3;3;0;0;1,0;"A5, A6, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3";3;3;0;0;1,0;"A5, A6, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3"
5;5;0;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";5;5;0;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";4;3;1;2;0,6;"A5, A6, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A1, A2, A3, A4, A5, M1, M2, M3, M4";3;2;1;3;0,4;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A5, M2, M4";6;5;1;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";6;5;1;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";6;5;1;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";6;5;1;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";5;5;0;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";5;5;0;0;1,0;"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4"
