CountNormalized1;CountNormalized2;CommonElements;IncorrectlyGenerated;CommonPercentage;Minimal conflicts - GPT
3;3;3;0;1,0;"A5, A6, O5
A1, A4, O1, O3, O5
A2, A3, A5, O2, O4, O5"
5;1;0;1;0,0;OpenAI Error
5;1;0;1;0,0;OpenAI Error
2;1;0;1;0,0;OpenAI Error
2;1;0;1;0,0;OpenAI Error
3;1;0;1;0,0;OpenAI Error
5;1;0;1;0,0;OpenAI Error
0;1;0;1;0,0;OpenAI Error
1;1;0;1;0,0;OpenAI Error
5;5;5;0;1,0;"A1, A5, O1, O2, O7
A2, A3, O2, O3, O4, O5, O9
A1, A2, A3, A5, O1, O3, O4, O5, O7, O9
A2, A3, A4, A6, O2, O3, O4, O6, O8, O9
A1, A2, A3, A4, A5, A6, O1, O3, O4, O6, O7, O8, O9"
3;1;0;1;0,0;OpenAI Error
5;1;0;1;0,0;OpenAI Error
4;1;0;1;0,0;OpenAI Error
1;1;0;1;0,0;OpenAI Error
5;1;0;1;0,0;OpenAI Error
0;1;0;1;0,0;OpenAI Error
2;1;0;1;0,0;OpenAI Error
2;1;0;1;0,0;OpenAI Error
3;1;0;1;0,0;OpenAI Error
0;1;0;1;0,0;OpenAI Error
2;1;0;1;0,0;OpenAI Error
1;1;0;1;0,0;OpenAI Error
3;1;0;1;0,0;OpenAI Error
0;1;0;1;0,0;OpenAI Error
1;1;0;1;0,0;OpenAI Error
0;1;0;1;0,0;A1
1;1;1;0;1,0;A1
0;0;0;0;1,0;
1;1;0;1;0,0;OpenAI Error
