+-----------------+-----------------------------+---------------------+-----------------+--------------------------------------------------------+-----------------------+--------------------------------------------------------+-------------------+-------------------------+-------------------------+
|       Lp.       |            Title            |      Equations      |  Observations   |                 All minimal conflicts                  | All minimal diagnosis |                   Minimal conflicts                    | Minimal diagnosis | Minimal conflicts - GPT | Minimal diagnosis - GPT |
|                 |                             |   M3: c * e = x03   |      c = 3      |                     A1, A2, M1, M3                     |        A1, M3         |                                                        |      A1, M2       |                         |                         |
|                 |                             |  A1: x01 + x02 = f  |      d = 3      |                                                        |        A2, M1         |                                                        |      M1, M2       |                         |                         |
|                 |                             |  A2: x02 + x03 = g  |      e = 2      |                                                        |        A2, M2         |                                                        |                   |                         |                         |
|                 |                             |                     |     f = 12      |                                                        |        M1, M2         |                                                        |                   |                         |                         |
|                 |                             |                     |     g = 10      |                                                        |        M1, M3         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        M2, M3         |                                                        |                   |                         |                         |
| --------------- |       ---------------       |   ---------------   | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|        7        |  Example 2 classic polybox  |   M1: a * c = x01   |      a = 2      |                       A1, M1, M2                       |        A1, A2         |                       A1, M1, M2                       |        A1         |                         |                         |
|                 |                             |   M2: b * d = x02   |      b = 2      |                       A2, M2, M3                       |        A1, M2         |                     A1, A2, M1, M3                     |        M1         |                         |                         |
|                 |                             |   M3: c * e = x03   |      c = 3      |                     A1, A2, M1, M3                     |        A1, M3         |                                                        |      A2, M2       |                         |                         |
|                 |                             |  A1: x01 + x02 = f  |      d = 3      |                                                        |        A2, M1         |                                                        |      M2, M3       |                         |                         |
|                 |                             |  A2: x02 + x03 = g  |      e = 2      |                                                        |        A2, M2         |                                                        |                   |                         |                         |
|                 |                             |                     |     f = 10      |                                                        |        M1, M2         |                                                        |                   |                         |                         |
|                 |                             |                     |     g = 12      |                                                        |        M1, M3         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        M2, M3         |                                                        |                   |                         |                         |
| --------------- |       ---------------       |   ---------------   | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|        8        |  Example 2 classic polybox  |   M1: a * c = x01   |      a = 2      |                       A1, M1, M2                       |        A1, A2         |                       A1, M1, M2                       |        M2         |                         |                         |
|                 |                             |   M2: b * d = x02   |      b = 2      |                       A2, M2, M3                       |        A1, M2         |                       A2, M2, M3                       |      A1, A2       |                         |                         |
|                 |                             |   M3: c * e = x03   |      c = 3      |                     A1, A2, M1, M3                     |        A1, M3         |                                                        |      A1, M3       |                         |                         |
|                 |                             |  A1: x01 + x02 = f  |      d = 3      |                                                        |        A2, M1         |                                                        |      A2, M1       |                         |                         |
|                 |                             |  A2: x02 + x03 = g  |      e = 2      |                                                        |        A2, M2         |                                                        |      M1, M3       |                         |                         |
|                 |                             |                     |     f = 10      |                                                        |        M1, M2         |                                                        |                   |                         |                         |
|                 |                             |                     |     g = 10      |                                                        |        M1, M3         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        M2, M3         |                                                        |                   |                         |                         |
| --------------- |       ---------------       |   ---------------   | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|        9        |      Example 3 only A       |   A1: a + b = x01   |      a = 1      |                       A3, A4, A6                       |        A1, A3         |                                                        |                   |                         |                         |
|                 |                             |   A2: b + c = x02   |      b = 1      |                     A1, A2, A5, A7                     |        A1, A4         |                                                        |                   |                         |                         |
|                 |                             |   A3: c + d = x03   |      c = 1      |                                                        |        A1, A6         |                                                        |                   |                         |                         |
|                 |                             |   A4: d + e = x04   |      d = 1      |                                                        |        A2, A3         |                                                        |                   |                         |                         |
|                 |                             | A5: x01 + x02 = x05 |      e = 1      |                                                        |        A2, A4         |                                                        |                   |                         |                         |
|                 |                             |  A6: x03 + x04 = g  |      f = 1      |                                                        |        A2, A6         |                                                        |                   |                         |                         |
|                 |                             |   A7: x05 + f = h   |      g = 4      |                                                        |        A3, A5         |                                                        |                   |                         |                         |
|                 |                             |                     |      h = 5      |                                                        |        A3, A7         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        A4, A5         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        A4, A7         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        A5, A6         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        A6, A7         |                                                        |                   |                         |                         |
| --------------- |       ---------------       |   ---------------   | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       10        |      Example 3 only A       |   A1: a + b = x01   |      a = 1      |                       A3, A4, A6                       |        A1, A3         |                       A3, A4, A6                       |        A3         |                         |                         |
|                 |                             |   A2: b + c = x02   |      b = 1      |                     A1, A2, A5, A7                     |        A1, A4         |                                                        |        A4         |                         |                         |
|                 |                             |   A3: c + d = x03   |      c = 1      |                                                        |        A1, A6         |                                                        |        A6         |                         |                         |
|                 |                             |   A4: d + e = x04   |      d = 1      |                                                        |        A2, A3         |                                                        |                   |                         |                         |
|                 |                             | A5: x01 + x02 = x05 |      e = 1      |                                                        |        A2, A4         |                                                        |                   |                         |                         |
|                 |                             |  A6: x03 + x04 = g  |      f = 1      |                                                        |        A2, A6         |                                                        |                   |                         |                         |
|                 |                             |   A7: x05 + f = h   |      g = 5      |                                                        |        A3, A5         |                                                        |                   |                         |                         |
|                 |                             |                     |      h = 5      |                                                        |        A3, A7         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        A4, A5         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        A4, A7         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        A5, A6         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        A6, A7         |                                                        |                   |                         |                         |
| --------------- |       ---------------       |   ---------------   | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       11        |      Example 3 only A       |   A1: a + b = x01   |      a = 1      |                       A3, A4, A6                       |        A1, A3         |                     A1, A2, A5, A7                     |        A1         |                         |                         |
|                 |                             |   A2: b + c = x02   |      b = 1      |                     A1, A2, A5, A7                     |        A1, A4         |                                                        |        A2         |                         |                         |
|                 |                             |   A3: c + d = x03   |      c = 1      |                                                        |        A1, A6         |                                                        |        A5         |                         |                         |
|                 |                             |   A4: d + e = x04   |      d = 1      |                                                        |        A2, A3         |                                                        |        A7         |                         |                         |
|                 |                             | A5: x01 + x02 = x05 |      e = 1      |                                                        |        A2, A4         |                                                        |                   |                         |                         |
|                 |                             |  A6: x03 + x04 = g  |      f = 1      |                                                        |        A2, A6         |                                                        |                   |                         |                         |
|                 |                             |   A7: x05 + f = h   |      g = 4      |                                                        |        A3, A5         |                                                        |                   |                         |                         |
|                 |                             |                     |      h = 4      |                                                        |        A3, A7         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        A4, A5         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        A4, A7         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        A5, A6         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        A6, A7         |                                                        |                   |                         |                         |
| --------------- |       ---------------       |   ---------------   | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       12        |      Example 3 only A       |   A1: a + b = x01   |      a = 1      |                       A3, A4, A6                       |        A1, A3         |                       A3, A4, A6                       |      A1, A3       |                         |                         |
|                 |                             |   A2: b + c = x02   |      b = 1      |                     A1, A2, A5, A7                     |        A1, A4         |                     A1, A2, A5, A7                     |      A1, A4       |                         |                         |
|                 |                             |   A3: c + d = x03   |      c = 1      |                                                        |        A1, A6         |                                                        |      A1, A6       |                         |                         |
|                 |                             |   A4: d + e = x04   |      d = 1      |                                                        |        A2, A3         |                                                        |      A2, A3       |                         |                         |
|                 |                             | A5: x01 + x02 = x05 |      e = 1      |                                                        |        A2, A4         |                                                        |      A2, A4       |                         |                         |
|                 |                             |  A6: x03 + x04 = g  |      f = 1      |                                                        |        A2, A6         |                                                        |      A2, A6       |                         |                         |
|                 |                             |   A7: x05 + f = h   |      g = 5      |                                                        |        A3, A5         |                                                        |      A3, A5       |                         |                         |
|                 |                             |                     |      h = 4      |                                                        |        A3, A7         |                                                        |      A3, A7       |                         |                         |
|                 |                             |                     |                 |                                                        |        A4, A5         |                                                        |      A4, A5       |                         |                         |
|                 |                             |                     |                 |                                                        |        A4, A7         |                                                        |      A4, A7       |                         |                         |
|                 |                             |                     |                 |                                                        |        A5, A6         |                                                        |      A5, A6       |                         |                         |
|                 |                             |                     |                 |                                                        |        A6, A7         |                                                        |      A6, A7       |                         |                         |
| --------------- |       ---------------       |   ---------------   | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       13        |      Example 4 only M       |   M1: a * b = x01   |      a = 1      |                       M3, M4, M6                       |        M1, M3         |                                                        |                   |                         |                         |
|                 |                             |   M2: b * c = x02   |      b = 1      |                     M1, M2, M5, M7                     |        M1, M4         |                                                        |                   |                         |                         |
|                 |                             |   M3: c * d = x03   |      c = 1      |                                                        |        M1, M6         |                                                        |                   |                         |                         |
|                 |                             |   M4: d * e = x04   |      d = 1      |                                                        |        M2, M3         |                                                        |                   |                         |                         |
|                 |                             | M5: x01 * x02 = x05 |      e = 1      |                                                        |        M2, M4         |                                                        |                   |                         |                         |
|                 |                             |  M6: x03 * x04 = g  |      f = 1      |                                                        |        M2, M6         |                                                        |                   |                         |                         |
|                 |                             |   M7: x05 * f = h   |      g = 1      |                                                        |        M3, M5         |                                                        |                   |                         |                         |
|                 |                             |                     |      h = 1      |                                                        |        M3, M7         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        M4, M5         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        M4, M7         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        M5, M6         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        M6, M7         |                                                        |                   |                         |                         |
| --------------- |       ---------------       |   ---------------   | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       14        |      Example 4 only M       |   M1: a * b = x01   |      a = 1      |                       M3, M4, M6                       |        M1, M3         |                     M1, M2, M5, M7                     |        M1         |                         |                         |
|                 |                             |   M2: b * c = x02   |      b = 1      |                     M1, M2, M5, M7                     |        M1, M4         |                                                        |        M2         |                         |                         |
|                 |                             |   M3: c * d = x03   |      c = 1      |                                                        |        M1, M6         |                                                        |        M5         |                         |                         |
|                 |                             |   M4: d * e = x04   |      d = 1      |                                                        |        M2, M3         |                                                        |        M7         |                         |                         |
|                 |                             | M5: x01 * x02 = x05 |      e = 1      |                                                        |        M2, M4         |                                                        |                   |                         |                         |
|                 |                             |  M6: x03 * x04 = g  |      f = 1      |                                                        |        M2, M6         |                                                        |                   |                         |                         |
|                 |                             |   M7: x05 * f = h   |      g = 1      |                                                        |        M3, M5         |                                                        |                   |                         |                         |
|                 |                             |                     |      h = 2      |                                                        |        M3, M7         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        M4, M5         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        M4, M7         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        M5, M6         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        M6, M7         |                                                        |                   |                         |                         |
| --------------- |       ---------------       |   ---------------   | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       15        |      Example 4 only M       |   M1: a * b = x01   |      a = 1      |                       M3, M4, M6                       |        M1, M3         |                       M3, M4, M6                       |        M3         |                         |                         |
|                 |                             |   M2: b * c = x02   |      b = 1      |                     M1, M2, M5, M7                     |        M1, M4         |                                                        |        M4         |                         |                         |
|                 |                             |   M3: c * d = x03   |      c = 1      |                                                        |        M1, M6         |                                                        |        M6         |                         |                         |
|                 |                             |   M4: d * e = x04   |      d = 1      |                                                        |        M2, M3         |                                                        |                   |                         |                         |
|                 |                             | M5: x01 * x02 = x05 |      e = 1      |                                                        |        M2, M4         |                                                        |                   |                         |                         |
|                 |                             |  M6: x03 * x04 = g  |      f = 1      |                                                        |        M2, M6         |                                                        |                   |                         |                         |
|                 |                             |   M7: x05 * f = h   |      g = 2      |                                                        |        M3, M5         |                                                        |                   |                         |                         |
|                 |                             |                     |      h = 1      |                                                        |        M3, M7         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        M4, M5         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        M4, M7         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        M5, M6         |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |        M6, M7         |                                                        |                   |                         |                         |
| --------------- |       ---------------       |   ---------------   | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       16        |      Example 4 only M       |   M1: a * b = x01   |      a = 1      |                       M3, M4, M6                       |        M1, M3         |                       M3, M4, M6                       |      M1, M3       |                         |                         |
