+-----------------+------------------+----------------------+-----------------+--------------------------------------------------------+-----------------------+--------------------------------------------------------+-------------------+-------------------------+-------------------------+
|       Lp.       |      Title       |      Equations       |  Observations   |                 All minimal conflicts                  | All minimal diagnosis |                   Minimal conflicts                    | Minimal diagnosis | Minimal conflicts - GPT | Minimal diagnosis - GPT |
|                 |                  |                      |                 |                                                        |      A4, M1, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M1, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M2, M3       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M2, M4       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M2, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M2, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M2, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M3, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M4, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M5, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A4, M7, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, A6, M2       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, A6, M3       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, A6, M4       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, A6, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, A6, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M2, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M2, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M2, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M3, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M3, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M3, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M4, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M4, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M4, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M5, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M5, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M5, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M6, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A5, M8, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M1, M2       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M1, M3       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M1, M4       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M1, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M1, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M2, M3       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M2, M4       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M2, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M2, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M2, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M3, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M4, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M5, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A6, M7, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M2, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M2, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M2, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M3, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M3, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M3, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M4, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M4, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M4, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M5, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M5, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M5, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M6, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M1, M8, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M3, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M3, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M3, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M4, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M4, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M4, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M5, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M5, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M5, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M5, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M6, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M6, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M7, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M2, M8, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M3, M5, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M3, M6, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M3, M7, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M4, M5, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M4, M6, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M4, M7, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M5, M6, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M5, M7, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M5, M7, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M6, M7, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      M7, M8, M9       |                                                        |                   |                         |                         |
| --------------- | ---------------  |   ---------------    | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|        8        | Nine M and six A |   a * c = x01 (M1)   |      a = 1      |                   A1, A5, M1, M2, M7                   |      A1, A2, A4       |                                                        |                   |                         |                         |
|                 |                  |   b * d = x02 (M2)   |      b = 1      |                   A4, A6, M5, M6, M8                   |      A1, A2, A6       |                                                        |                   |                         |                         |
|                 |                  |   c * e = x03 (M3)   |      c = 1      |               A2, A3, M2, M3, M4, M5, M9               |      A1, A2, M5       |                                                        |                   |                         |                         |
|                 |                  |   f * h = x04 (M4)   |      d = 1      |         A1, A2, A3, A5, M1, M3, M4, M5, M7, M9         |      A1, A2, M6       |                                                        |                   |                         |                         |
|                 |                  |   g * i = x05 (M5)   |      e = 1      |         A2, A3, A4, A6, M2, M3, M4, M6, M8, M9         |      A1, A2, M8       |                                                        |                   |                         |                         |
|                 |                  |   h * j = x06 (M6)   |      f = 1      |       A1, A2, A3, A5, M1, M2, M3, M4, M5, M7, M9       |      A1, A3, A4       |                                                        |                   |                         |                         |
|                 |                  |   k * m = x07 (M7)   |      g = 1      |       A2, A3, A4, A6, M2, M3, M4, M5, M6, M8, M9       |      A1, A3, A6       |                                                        |                   |                         |                         |
|                 |                  | x01 + x02 = x08 (A1) |      h = 1      |   A1, A2, A3, A4, A5, A6, M1, M3, M4, M6, M7, M8, M9   |      A1, A3, M5       |                                                        |                   |                         |                         |
|                 |                  | x02 + x03 = x09 (A2) |      i = 1      | A1, A2, A3, A4, A5, A6, M1, M2, M3, M4, M6, M7, M8, M9 |      A1, A3, M6       |                                                        |                   |                         |                         |
|                 |                  | x04 + x05 = x10 (A3) |      j = 1      | A1, A2, A3, A4, A5, A6, M1, M3, M4, M5, M6, M7, M8, M9 |      A1, A3, M8       |                                                        |                   |                         |                         |
|                 |                  | x05 + x06 = x11 (A4) |      k = 1      |                                                        |      A1, A4, M2       |                                                        |                   |                         |                         |
|                 |                  |   n * o = x12 (M8)   |      m = 1      |                                                        |      A1, A4, M3       |                                                        |                   |                         |                         |
|                 |                  |  x07 + x08 = p (A5)  |      n = 1      |                                                        |      A1, A4, M4       |                                                        |                   |                         |                         |
|                 |                  |  x09 * x10 = q (M9)  |      o = 1      |                                                        |      A1, A4, M5       |                                                        |                   |                         |                         |
|                 |                  |  x11 + x12 = r (A6)  |      p = 3      |                                                        |      A1, A4, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |      q = 4      |                                                        |      A1, A6, M2       |                                                        |                   |                         |                         |
|                 |                  |                      |      r = 3      |                                                        |      A1, A6, M3       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, A6, M4       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, A6, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, A6, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M2, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M2, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M2, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M3, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M3, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M3, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M4, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M4, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M4, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M5, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M5, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M5, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M6, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A1, M8, M9       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, A4, A5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, A4, M1       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, A4, M2       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, A4, M7       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, A5, A6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, A5, M5       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, A5, M6       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, A5, M8       |                                                        |                   |                         |                         |
|                 |                  |                      |                 |                                                        |      A2, A6, M1       |                                                        |                   |                         |                         |
