CountNormalized1;CountNormalized2;CommonElements;IncorrectlyGenerated;CommonPercentage;Minimal diagnosis - GPT;CountNormalized1;CountNormalized2;CommonElements;IncorrectlyGenerated;CommonPercentage;Minimal diagnosis - GPT;CountNormalized1;CountNormalized2;CommonElements;IncorrectlyGenerated;CommonPercentage;Minimal diagnosis - GPT;CountNormalized1;CountNormalized2;CommonElements;IncorrectlyGenerated;CommonPercentage;Minimal diagnosis - GPT;CountNormalized1;CountNormalized2;CommonElements;IncorrectlyGenerated;CommonPercentage;Minimal diagnosis - GPT;CountNormalized1;CountNormalized2;CommonElements;IncorrectlyGenerated;CommonPercentage;Minimal diagnosis - GPT;CountNormalized1;CountNormalized2;CommonElements;IncorrectlyGenerated;CommonPercentage;Minimal diagnosis - GPT;CountNormalized1;CountNormalized2;CommonElements;IncorrectlyGenerated;CommonPercentage;Minimal diagnosis - GPT;CountNormalized1;CountNormalized2;CommonElements;IncorrectlyGenerated;CommonPercentage;Minimal diagnosis - GPT;CountNormalized1;CountNormalized2;CommonElements;IncorrectlyGenerated;CommonPercentage;Minimal diagnosis - GPT
4;4;4;0;1,0;"M5
M7
M1
M2";4;4;4;0;1,0;"M1
M5
M7
M2";4;4;4;0;1,0;"M1
M5
M2
M7";4;4;4;0;1,0;"M1
M2
M5
M7";4;4;4;0;1,0;"M7
M5
M2
M1";4;4;4;0;1,0;"M7
M5
M2
M1";4;4;4;0;1,0;"M1
M2
M5
M7";4;4;4;0;1,0;"M1
M2
M7
M5";4;4;4;0;1,0;"M2
M5
M7
M1";4;4;4;0;1,0;"M2
M1
M5
M7"
3;3;3;0;1,0;"M6
M4
M3";3;3;3;0;1,0;"M4
M3
M6";3;3;3;0;1,0;"M4
M6
M3";3;3;3;0;1,0;"M3
M4
M6";3;3;3;0;1,0;"M4
M3
M6";3;3;3;0;1,0;"M3
M4
M6";3;3;3;0;1,0;"M3
M4
M6";3;3;3;0;1,0;"M3
M6
M4";3;3;3;0;1,0;"M6
M3
M4";3;3;3;0;1,0;"M4
M3
M6"
12;12;12;0;1,0;"M4, M2
M3, M1
M3, M5
M3, M7
M6, M7
M6, M1
M4, M7
M3, M2
M6, M5
M4, M1
M4, M5
M6, M2";12;12;12;0;1,0;"M4, M1
M6, M1
M3, M2
M3, M1
M4, M7
M4, M2
M6, M5
M6, M7
M3, M5
M3, M7
M4, M5
M6, M2";12;12;12;0;1,0;"M3, M7
M2, M4
M4, M7
M6, M7
M4, M1
M6, M1
M6, M5
M1, M3
M2, M3
M6, M2
M5, M3
M5, M4";12;12;12;0;1,0;"M3, M1
M3, M2
M3, M5
M3, M7
M4, M1
M4, M2
M4, M5
M4, M7
M6, M1
M6, M2
M6, M5
M6, M7";12;12;12;0;1,0;"M6, M7
M6, M2
M5, M6
M4, M2
M3, M1
M5, M4
M3, M7
M3, M2
M3, M5
M1, M6
M7, M4
M1, M4";12;12;12;0;1,0;"M3, M7
M3, M1
M4, M5
M6, M2
M4, M7
M4, M1
M3, M2
M4, M2
M6, M5
M6, M7
M6, M1
M3, M5";12;12;12;0;1,0;"M3, M1
M3, M2
M3, M5
M3, M7
M4, M1
M4, M2
M4, M5
M4, M7
M6, M1
M6, M2
M6, M5
M6, M7";12;12;12;0;1,0;"M4, M5
M4, M2
M3, M1
M3, M2
M6, M7
M3, M5
M6, M1
M6, M2
M4, M7
M6, M5
M3, M7
M4, M1";12;12;12;0;1,0;"M4, M7
M4, M1
M6, M5
M4, M2
M3, M5
M4, M5
M6, M7
M6, M1
M3, M7
M6, M2
M3, M1
M3, M2";12;1;0;1;0,0;OpenAI Error
0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;
3;3;3;0;1,0;"A4
A2
M2";3;3;3;0;1,0;"A4
A2
M2";3;3;3;0;1,0;"A2
M2
A4";3;3;3;0;1,0;"A2
A4
M2";3;3;3;0;1,0;"A4
A2
M2";3;3;3;0;1,0;"M2
A2
A4";3;3;3;0;1,0;"A2
A4
M2";3;3;3;0;1,0;"M2
A2
A4";3;3;3;0;1,0;"M2
A2
A4";3;3;3;0;1,0;"A2
M2
A4"
12;12;12;0;1,0;"A4, A3
A2, M3
M2, M3
A2, M1
A2, A3
A2, A1
A4, M3
M2, M1
A4, M1
M2, A1
A4, A1
M2, A3";12;12;12;0;1,0;"A4, M1
A2, A1
M2, A3
M2, A1
A2, M1
M2, M3
A4, A3
A4, M3
A4, A1
M2, M1
A2, A3
A2, M3";12;12;12;0;1,0;"A2, A1
M2, A1
A4, M3
A3, M2
A4, A1
A2, M1
M2, M1
A3, A4
A4, M1
A3, A2
A2, M3
M2, M3";12;12;12;0;1,0;"A2, A1
A2, A3
A2, M1
A2, M3
A4, A1
A4, A3
A4, M1
A4, M3
M2, A1
M2, A3
M2, M1
M2, M3";12;12;12;0;1,0;"A1, M2
A1, A4
M1, A2
A4, A3
M3, A2
A1, A2
A3, M2
A4, M1
M3, M2
A3, A2
M3, A4
M1, M2";12;12;12;0;1,0;"A2, M3
A4, A1
M2, M3
A4, A3
A2, A1
A2, A3
M2, A1
A4, M1
M2, A3
A2, M1
A4, M3
M2, M1";12;12;12;0;1,0;"A2, A1
A2, A3
A2, M1
A2, M3
A4, A1
A4, A3
A4, M1
A4, M3
M2, A1
M2, A3
M2, M1
M2, M3";12;12;12;0;1,0;"M2, A1
A4, M3
A2, A1
M2, A3
M2, M3
A4, M1
A2, A3
M2, M1
A2, M3
A4, A1
A2, M1
A4, A3";12;12;12;0;1,0;"A2, M3
A2, A1
M2, A1
M2, M3
A4, A1
A4, M3
A4, M1
A4, A3
M2, A3
A2, A3
A2, M1
M2, M1";12;1;0;1;0,0;OpenAI Error
4;4;4;0;1,0;"A3
A1
M1
M3";4;4;4;0;1,0;"A1
M1
M3
A3";4;4;4;0;1,0;"A1
M1
A3
M3";4;4;4;0;1,0;"A1
A3
M1
M3";4;4;4;0;1,0;"A3
M3
A1
M1";4;4;4;0;1,0;"M3
A3
M1
A1";4;4;4;0;1,0;"A1
A3
M1
M3";4;4;4;0;1,0;"M3
A3
M1
A1";4;4;4;0;1,0;"A3
A1
M3
M1";4;4;4;0;1,0;"A1
M1
M3
A3"
0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;
9;9;9;0;1,0;"A2, M4
A2, M3
M2, M3
A4
A2, A3
M2, M4
M1
M2, A3
A1";9;9;9;0;1,0;"M1
M2, M4
M2, A3
M2, M3
A1
A4
A2, A3
A2, M4
A2, M3";9;9;9;0;1,0;"M4, A2
M2, M4
A4
A3, M2
A1
M1
A3, A2
A2, M3
M2, M3";9;9;9;0;1,0;"A1
A4
M1
A2, A3
A2, M3
A2, M4
M2, A3
M2, M3
M2, M4";9;9;9;0;1,0;"A4
A2, M4
M1
M2, M4
M3, A2
A3, M2
M3, M2
A1
A3, A2";9;9;9;0;1,0;"A2, M3
M2, M3
A2, M4
A4
A2, A3
M1
M2, M4
M2, A3
A1";9;9;9;0;1,0;"A1
A4
M1
A2, A3
A2, M3
A2, M4
M2, A3
M2, M3
M2, M4";9;9;9;0;1,0;"M2, M4
M2, A3
M2, M3
A2, M4
M1
A2, A3
A2, M3
A4
A1";9;9;9;0;1,0;"A2, M3
M2, M3
A4
M2, M4
M1
A2, M4
A1
M2, A3
A2, A3";9;1;0;1;0,0;OpenAI Error
9;9;9;0;1,0;"A3
M2, A4
A2, M1
M3
A2, A1
M2, M1
M4
A2, A4
M2, A1";9;9;9;0;1,0;"A2, A1
M2, A1
A2, M1
M2, A4
A3
M4
M3
M2, M1
A2, A4";9;9;9;0;1,0;"M4
A3
A2, A1
M2, A1
M2, A4
A4, A2
A2, M1
M2, M1
M3";9;9;9;0;1,0;"A3
M3
M4
A2, A1
A2, A4
A2, M1
M2, A1
M2, A4
M2, M1";9;9;9;0;1,0;"M4
A1, M2
M1, A2
M3
A4, M2
A1, A2
A3
A4, A2
M1, M2";9;9;9;0;1,0;"A2, A1
M2, A1
M3
M2, A4
A2, A4
A2, M1
A3
M4
M2, M1";9;9;9;0;1,0;"A3
M3
M4
A2, A1
A2, A4
A2, M1
M2, A1
M2, A4
M2, M1";9;9;9;0;1,0;"A2, A4
A3
M2, A1
M3
A2, A1
M2, M1
M2, A4
M4
A2, M1";9;9;9;0;1,0;"A2, A1
A3
M2, A1
A2, A4
M3
M2, A4
A2, M1
M4
M2, M1";9;1;0;1;0,0;OpenAI Error
21;21;21;0;1,0;"A2, M4
M2, M3
A4, M3
M2, A1
M2, A4
M1, M3
A1, A3
M2, M1
M2, A3
A4, A3
A2, M3
A1, M4
M2, M4
A2, A1
A4, M4
A2, A4
M1, A3
A2, A1
A2, A3
M1, M4
A1, M3";21;21;21;0;1,0;"M2, M4
A1, M3
M2, A3
A2, M1
A4, M3
A2, M4
A2, A3
M2, A1
M1, M4
M1, A3
A1, A3
A2, A1
A1, M4
M2, A4
M2, M3
A4, A3
A4, M4
A2, A4
A2, M3
M1, M3
M2, M1";21;21;21;0;1,0;"A4, M4
M4, M1
M1, M3
A2, M3
M2, M3
M4, A2
M2, M4
A2, A1
M2, A1
A3, A1
A3, M2
A4, A2
A2, M1
M2, M1
A1, M3
A3, M1
M4, A1
M2, A4
A3, A4
A3, A2
A4, M3";21;21;21;0;1,0;"A1, A3
A1, M3
A1, M4
A4, A3
A4, M3
A4, M4
M1, A3
M1, M3
M1, M4
A2, A1
A2, A3
A2, A4
A2, M1
A2, M3
A2, M4
M2, A1
M2, A3
M2, A4
M2, M1
M2, M3
M2, M4";21;21;21;0;1,0;"M1, A3
A4, M2
M1, A2
M3, M1
A1, M4
A1, M2
A3, A2
M3, A4
M1, M4
A4, A2
M1, M2
A1, A2
M3, A1
A1, A3
A3, M2
M3, M2
M3, A2
A4, M4
A2, M4
M2, M4
A4, A3";21;21;21;0;1,0;"M2, M3
A2, A3
M2, M4
M1, M3
A2, A4
A2, M1
A1, A3
M1, M4
A4, M3
A4, M4
A2, A1
A2, M3
A2, M4
A1, M3
A1, M4
M2, A3
M1, A3
M2, A4
M2, M1
A4, A3
M2, A1";21;21;21;0;1,0;"A1, A3
A1, M3
A1, M4
A4, A3
A4, M3
A4, M4
M1, A3
M1, M3
M1, M4
A2, A1
A2, A3
A2, A4
A2, M1
A2, M3
A2, M4
M2, A1
M2, A3
M2, A4
M2, M1
M2, M3
M2, M4";21;21;21;0;1,0;"A2, A4
M1, M3
A2, A1
A2, A3
M2, A4
A4, M4
A2, M1
M2, A1
A4, M3
A1, A3
M2, A3
M2, M1
M1, A3
A2, M4
A2, M3
A4, A3
A1, M4
M2, M4
A1, M3
M2, M3
M1, M4";21;21;21;0;1,0;"A4, M3
M2, A1
M2, M3
M1, M3
A2, M1
A2, A1
A2, M3
A1, M4
A1, A3
M1, M4
M1, A3
M2, M4
A4, M4
M2, A3
M2, A4
M2, M1
A4, A3
A1, M3
A2, M4
A2, A3
A2, A4";21;1;0;1;0,0;OpenAI Error
0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;
5;5;5;0;1,0;"M4, A1
M4, A2
M3
M4, M1
M4, M2";5;5;5;0;1,0;"M4, M1
M4, A2
M4, M2
M3
M4, A1";5;5;5;0;1,0;"M4, A2
M2, M4
M4, A1
M4, M1
M3";5;5;5;0;1,0;"M3
M4, A1
M4, A2
M4, M1
M4, M2";5;5;5;0;1,0;"A2, M4
M4, M2
M3
A1, M4
M1, M4";5;5;5;0;1,0;"M4, M1
M3
M4, M2
M4, A1
M4, A2";5;5;5;0;1,0;"M3
M4, A1
M4, A2
M4, M1
M4, M2";5;5;5;0;1,0;"M4, A2
M4, A1
M3
M4, M1
M4, M2";5;5;5;0;1,0;"M4, M1
M4, M2
M4, A2
M4, A1
M3";5;1;0;1;0,0;OpenAI Error
5;5;5;0;1,0;"M3, M1
M3, A1
M4
M3, M2
M3, A2";5;5;5;0;1,0;"M3, M2
M3, M1
M3, A2
M4
M3, A1";5;5;5;0;1,0;"M4
M1, M3
A1, M3
A2, M3
M2, M3";5;5;5;0;1,0;"M4
M3, A1
M3, A2
M3, M1
M3, M2";5;5;5;0;1,0;"M4
M3, M1
M3, A2
M3, A1
M3, M2";5;5;5;0;1,0;"M3, M1
M3, M2
M3, A1
M3, A2
M4";5;5;5;0;1,0;"M4
M3, A1
M3, A2
M3, M1
M3, M2";5;5;5;0;1,0;"M3, M1
M3, M2
M3, A2
M3, A1
M4";5;5;5;0;1,0;"M3, A2
M3, A1
M3, M1
M3, M2
M4";5;1;0;1;0,0;OpenAI Error
5;5;5;0;1,0;"A2
M3, M4
M1
A1
M2";5;5;5;0;1,0;"M1
A2
M2
M3, M4
A1";5;5;5;0;1,0;"A2
M4, M3
A1
M1
M2";5;5;5;0;1,0;"A1
A2
M1
M2
M3, M4";5;5;5;0;1,0;"M3, M4
M1
A2
A1
M2";5;5;5;0;1,0;"M1
M3, M4
M2
A1
A2";5;5;5;0;1,0;"A1
A2
M1
M2
M3, M4";5;5;5;0;1,0;"M3, M4
M1
M2
A2
A1";5;5;5;0;1,0;"M3, M4
M1
M2
A2
A1";5;1;0;1;0,0;OpenAI Error
0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;;0;0;0;0;1,0;
21;21;21;0;1,0;"A5, M3
A6, A4, A3
A5, A1
A6, A1, M2
A6, A4, M2
A6, A1, A3
A5, A4
A6, A1, M4
A6, A4, M4
A5, M1
A6, M1, M2
A6, M3, A2
A6, M1, A3
A6, M1, M4
A6, A1, A2
A6, A4, A2
M5
A6, M3, M2
A6, M3, A3
A6, M1, A2
A6, M3, M4";21;21;21;0;1,0;"A6, A1, M2
A6, M1, A2
A6, M3, M4
A6, M3, A3
A6, M1, A3
A6, M1, M4
A5, A1
M5
A5, A4
A5, M3
A6, M3, M2
A6, A4, A2
A6, A1, A2
A6, A4, M4
A6, M1, M2
A6, A4, A3
A6, A1, A3
A6, A1, M4
A5, M1
A6, A4, M2
A6, M3, A2";21;21;21;0;1,0;"A6, M4, M1
A3, A6, M1
A3, A4, A6
A4, A5
M4, A6, M3
M1, A5
A3, A6, M3
M5
M4, A6, A1
A3, A6, A1
A6, M2, M1
A4, M2, A6
A2, A6, M3
A4, A2, A6
M3, A5
M2, A6, M3
A6, A2, M1
A1, A5
A2, A6, A1
M2, A6, A1
A4, M4, A6";21;21;21;0;1,0;"M5
A5, A1
A5, A4
A5, M1
A5, M3
A6, A1, A2
A6, A1, A3
A6, A1, M2
A6, A1, M4
A6, A4, A2
A6, A4, A3
A6, A4, M2
A6, A4, M4
A6, M1, A2
A6, M1, A3
A6, M1, M2
A6, M1, M4
A6, M3, A2
A6, M3, A3
A6, M3, M2
A6, M3, M4";21;21;21;0;1,0;"M3, A6, M4
A1, A5
M3, A6, A2
A1, A6, M2
M3, A6, A3
A1, A6, A3
M3, A6, M2
A6, M1, A3
A6, A2, A4
A6, M1, M2
A6, A3, A4
M1, A5
A4, A5
M3, A5
A1, A6, A2
M5
A6, M1, M4
A1, A6, M4
A6, A4, M4
A6, A4, M2
A6, M1, A2";21;21;21;0;1,0;"A6, M3, A3
A6, M1, A3
A6, A1, M2
A6, A4, A3
A6, A1, M4
A6, A1, A2
A5, M1
A5, A4
A5, A1
M5
A6, M3, M2
A6, M1, M2
A6, M3, A2
A6, M1, M4
A6, M3, M4
A6, A4, M2
A6, M1, A2
A5, M3
A6, A4, A2
A6, A4, M4
A6, A1, A3";21;21;21;0;1,0;"M5
A5, A1
A5, A4
A5, M1
A5, M3
A6, A1, A2
A6, A1, A3
A6, A1, M2
A6, A1, M4
A6, A4, A2
A6, A4, A3
A6, A4, M2
A6, A4, M4
A6, M1, A2
A6, M1, A3
A6, M1, M2
A6, M1, M4
A6, M3, A2
A6, M3, A3
A6, M3, M2
A6, M3, M4";21;21;21;0;1,0;"A5, A1
A6, M1, M4
A5, M1
A6, A1, M2
A6, M3, M4
A6, M1, A2
A6, A4, M4
A6, A1, A3
A6, M3, A2
A6, A4, A2
A6, M1, M2
A5, M3
A6, M1, A3
A6, M3, M2
A6, A1, M4
A6, M3, A3
A6, A4, M2
A6, A4, A3
A6, A1, A2
M5
A5, A4";21;21;21;0;1,0;"A6, M1, M4
A6, M1, A3
A6, M3, A2
A6, A4, A2
A6, M3, M4
A6, A4, M4
A6, M3, A3
A6, A4, A3
A6, A1, M2
M5
A5, A4
A5, M1
A6, A1, A2
A6, M1, M2
A6, A1, M4
A6, A1, A3
A5, M3
A5, A1
A6, M3, M2
A6, M1, A2
A6, A4, M2";21;1;0;1;0,0;OpenAI Error
9;9;9;0;1,0;"A5
M5, M1
M5, A1
A6, M4
M5, A4
A6, M2
A6, A3
A6, A2
M5, M3";9;9;9;0;1,0;"A6, M2
M5, A1
A5
M5, A4
M5, M3
A6, M4
A6, A3
M5, M1
A6, A2";9;9;9;0;1,0;"A2, A6
M2, A6
M5, A4
M5, A1
M5, M1
A3, A6
A5
M5, M3
M4, A6";9;9;9;0;1,0;"A5
M5, A1
M5, A4
M5, M1
M5, M3
A6, A2
A6, A3
A6, M2
A6, M4";9;9;9;0;1,0;"A6, A2
A6, A3
A6, M2
M5, M3
A5
M5, A4
M5, M1
A6, M4
M5, A1";9;9;9;0;1,0;"M5, M3
M5, A4
A5
M5, A1
A6, M2
A6, A3
A6, A2
M5, M1
A6, M4";9;9;9;0;1,0;"A5
M5, A1
M5, A4
M5, M1
M5, M3
A6, A2
A6, A3
A6, M2
A6, M4";9;9;9;0;1,0;"A6, M4
A5
M5, M1
M5, A4
A6, A3
M5, A1
M5, M3
A6, M2
A6, A2";9;9;9;0;1,0;"M5, A4
A6, M2
A6, A2
M5, M1
A5
A6, M4
M5, A1
M5, M3
A6, A3";9;1;0;1;0,0;OpenAI Error
