Lp.;Title;Equations;Observations;All minimal conflicts;All minimal diagnosis;Minimal conflicts;Minimal diagnosis;Minimal conflicts - GPT;Minimal diagnosis - GPT
12;Example 3 only A;"A1: a + b = x01
A2: b + c = x02
A3: c + d = x03
A4: d + e = x04
A5: x01 + x02 = x05
A6: x03 + x04 = g
A7: x05 + f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 4
h = 4";"A3, A4, A6
A1, A2, A5, A7";"A1, A3
A1, A4
A1, A6
A2, A3
A2, A4
A2, A6
A3, A5
A3, A7
A4, A5
A4, A7
A5, A6
A6, A7";A1, A2, A5, A7;"A1
A2
A5
A7";No JSON;
13;Example 3 only A;"A1: a + b = x01
A2: b + c = x02
A3: c + d = x03
A4: d + e = x04
A5: x01 + x02 = x05
A6: x03 + x04 = g
A7: x05 + f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 5
h = 4";"A3, A4, A6
A1, A2, A5, A7";"A1, A3
A1, A4
A1, A6
A2, A3
A2, A4
A2, A6
A3, A5
A3, A7
A4, A5
A4, A7
A5, A6
A6, A7";"A3, A4, A6
A1, A2, A5, A7";"A1, A3
A1, A4
A1, A6
A2, A3
A2, A4
A2, A6
A3, A5
A3, A7
A4, A5
A4, A7
A5, A6
A6, A7";No JSON;
14;Example 4 only M;"M1: a * b = x01
M2: b * c = x02
M3: c * d = x03
M4: d * e = x04
M5: x01 * x02 = x05
M6: x03 * x04 = g
M7: x05 * f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 1";"M3, M4, M6
M1, M2, M5, M7";"M1, M3
M1, M4
M1, M6
M2, M3
M2, M4
M2, M6
M3, M5
M3, M7
M4, M5
M4, M7
M5, M6
M6, M7";;;No JSON;
15;Example 4 only M;"M1: a * b = x01
M2: b * c = x02
M3: c * d = x03
M4: d * e = x04
M5: x01 * x02 = x05
M6: x03 * x04 = g
M7: x05 * f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 2";"M3, M4, M6
M1, M2, M5, M7";"M1, M3
M1, M4
M1, M6
M2, M3
M2, M4
M2, M6
M3, M5
M3, M7
M4, M5
M4, M7
M5, M6
M6, M7";M1, M2, M5, M7;"M1
M2
M5
M7";No JSON;
16;Example 4 only M;"M1: a * b = x01
M2: b * c = x02
M3: c * d = x03
M4: d * e = x04
M5: x01 * x02 = x05
M6: x03 * x04 = g
M7: x05 * f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 2
h = 1";"M3, M4, M6
M1, M2, M5, M7";"M1, M3
M1, M4
M1, M6
M2, M3
M2, M4
M2, M6
M3, M5
M3, M7
M4, M5
M4, M7
M5, M6
M6, M7";M3, M4, M6;"M3
M4
M6";No JSON;
17;Example 4 only M;"M1: a * b = x01
M2: b * c = x02
M3: c * d = x03
M4: d * e = x04
M5: x01 * x02 = x05
M6: x03 * x04 = g
M7: x05 * f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 2
h = 2";"M3, M4, M6
M1, M2, M5, M7";"M1, M3
M1, M4
M1, M6
M2, M3
M2, M4
M2, M6
M3, M5
M3, M7
M4, M5
M4, M7
M5, M6
M6, M7";"M3, M4, M6
M1, M2, M5, M7";"M1, M3
M1, M4
M1, M6
M2, M3
M2, M4
M2, M6
M3, M5
M3, M7
M4, M5
M4, M7
M5, M6
M6, M7";No JSON;
18;Example 5 mixed A and M;"A1: a + b = x01
M1: b * c = x02
M2: c * d = x03
A2: d + e = x04
A3: x01 + x02 = x05
A4: x03 + x04 = g
M3: x05 * f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 3
h = 3";"A2, A4, M2
A1, A3, M1, M3";"A1, A2
A1, A4
A1, M2
A2, A3
A2, M1
A2, M3
A3, A4
A3, M2
A4, M1
A4, M3
M1, M2
M2, M3";;;No JSON;
19;Example 5 mixed A and M;"A1: a + b = x01
M1: b * c = x02
M2: c * d = x03
A2: d + e = x04
A3: x01 + x02 = x05
A4: x03 + x04 = g
M3: x05 * f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 4
h = 3";"A2, A4, M2
A1, A3, M1, M3";"A1, A2
A1, A4
A1, M2
A2, A3
A2, M1
A2, M3
A3, A4
A3, M2
A4, M1
A4, M3
M1, M2
M2, M3";A2, A4, M2;"A2
A4
M2";No JSON;
20;Example 5 mixed A and M;"A1: a + b = x01
M1: b * c = x02
M2: c * d = x03
A2: d + e = x04
A3: x01 + x02 = x05
A4: x03 + x04 = g
M3: x05 * f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 4
h = 4";"A2, A4, M2
A1, A3, M1, M3";"A1, A2
A1, A4
A1, M2
A2, A3
A2, M1
A2, M3
A3, A4
A3, M2
A4, M1
A4, M3
M1, M2
M2, M3";"A2, A4, M2
A1, A3, M1, M3";"A1, A2
A1, A4
A1, M2
A2, A3
A2, M1
A2, M3
A3, A4
A3, M2
A4, M1
A4, M3
M1, M2
M2, M3";No JSON;
21;Example 5 mixed A and M;"A1: a + b = x01
M1: b * c = x02
M2: c * d = x03
A2: d + e = x04
A3: x01 + x02 = x05
A4: x03 + x04 = g
M3: x05 * f = h";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 3
h = 4";"A2, A4, M2
A1, A3, M1, M3";"A1, A2
A1, A4
A1, M2
A2, A3
A2, M1
A2, M3
A3, A4
A3, M2
A4, M1
A4, M3
M1, M2
M2, M3";A1, A3, M1, M3;"A1
A3
M1
M3";No JSON;
22;Example 6;"A1: a + b = x01
A2: d + e = x02
A3: g + h = x03
M1: c * x01 = x04
M2: f * x02 = x05
M3: i * x03 = x06
A4: x04 + x05 = j
M4: x05 * x06 = k";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 1
i = 1
j = 4
k = 4";"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";"A1, A2
A1, A3
A1, M2
A1, M3
A1, M4
A2, A3
A2, A4
A2, M1
A2, M3
A2, M4
A3, A4
A3, M1
A3, M2
A4, M2
A4, M3
A4, M4
M1, M2
M1, M3
M1, M4
M2, M3
M2, M4";;;No JSON;
23;Example 6;"A1: a + b = x01
A2: d + e = x02
A3: g + h = x03
M1: c * x01 = x04
M2: f * x02 = x05
M3: i * x03 = x06
A4: x04 + x05 = j
M4: x05 * x06 = k";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 1
i = 1
j = 3
k = 4";"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";"A1, A2
A1, A3
A1, M2
A1, M3
A1, M4
A2, A3
A2, A4
A2, M1
A2, M3
A2, M4
A3, A4
A3, M1
A3, M2
A4, M2
A4, M3
A4, M4
M1, M2
M1, M3
M1, M4
M2, M3
M2, M4";"A1, A2, A4, M1, M2
A1, A3, A4, M1, M3, M4";"A1
A4
M1
A2, A3
A2, M3
A2, M4
A3, M2
M2, M3
M2, M4";No JSON;
24;Example 6;"A1: a + b = x01
A2: d + e = x02
A3: g + h = x03
M1: c * x01 = x04
M2: f * x02 = x05
M3: i * x03 = x06
A4: x04 + x05 = j
M4: x05 * x06 = k";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 1
i = 1
j = 4
k = 3";"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";"A1, A2
A1, A3
A1, M2
A1, M3
A1, M4
A2, A3
A2, A4
A2, M1
A2, M3
A2, M4
A3, A4
A3, M1
A3, M2
A4, M2
A4, M3
A4, M4
M1, M2
M1, M3
M1, M4
M2, M3
M2, M4";"A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";"A3
M3
M4
A1, A2
A1, M2
A2, A4
A2, M1
A4, M2
M1, M2";No JSON;
25;Example 6;"A1: a + b = x01
A2: d + e = x02
A3: g + h = x03
M1: c * x01 = x04
M2: f * x02 = x05
M3: i * x03 = x06
A4: x04 + x05 = j
M4: x05 * x06 = k";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 1
i = 1
j = 3
k = 3";"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";"A1, A2
A1, A3
A1, M2
A1, M3
A1, M4
A2, A3
A2, A4
A2, M1
A2, M3
A2, M4
A3, A4
A3, M1
A3, M2
A4, M2
A4, M3
A4, M4
M1, M2
M1, M3
M1, M4
M2, M3
M2, M4";"A1, A2, A4, M1, M2
A2, A3, M2, M3, M4
A1, A3, A4, M1, M3, M4";"A1, A2
A1, A3
A1, M2
A1, M3
A1, M4
A2, A3
A2, A4
A2, M1
A2, M3
A2, M4
A3, A4
A3, M1
A3, M2
A4, M2
A4, M3
A4, M4
M1, M2
M1, M3
M1, M4
M2, M3
M2, M4";No JSON;
26;Example 7;"A1: a + b = x02
M1: c * d = x01
M2: e * x01 = x03
A2: x02 + x03 = x04
M3: f * x04 = h
M4: x04 * g = i";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 3
i = 3";"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";"A1, M3
A1, M4
A2, M3
A2, M4
M1, M3
M1, M4
M2, M3
M2, M4
M3, M4";;;No JSON;
27;Example 7;"A1: a + b = x02
M1: c * d = x01
M2: e * x01 = x03
A2: x02 + x03 = x04
M3: f * x04 = h
M4: x04 * g = i";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 2
i = 3";"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";"A1, M3
A1, M4
A2, M3
A2, M4
M1, M3
M1, M4
M2, M3
M2, M4
M3, M4";"M3, M4
A1, A2, M1, M2, M3";"M3
A1, M4
A2, M4
M1, M4
M2, M4";No JSON;
28;Example 7;"A1: a + b = x02
M1: c * d = x01
M2: e * x01 = x03
A2: x02 + x03 = x04
M3: f * x04 = h
M4: x04 * g = i";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 3
i = 2";"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";"A1, M3
A1, M4
A2, M3
A2, M4
M1, M3
M1, M4
M2, M3
M2, M4
M3, M4";"M3, M4
A1, A2, M1, M2, M4";"M4
A1, M3
A2, M3
M1, M3
M2, M3";No JSON;
29;Example 7;"A1: a + b = x02
M1: c * d = x01
M2: e * x01 = x03
A2: x02 + x03 = x04
M3: f * x04 = h
M4: x04 * g = i";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 2
i = 2";"M3, M4
A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";"A1, M3
A1, M4
A2, M3
A2, M4
M1, M3
M1, M4
M2, M3
M2, M4
M3, M4";"A1, A2, M1, M2, M3
A1, A2, M1, M2, M4";"A1
A2
M1
M2
M3, M4";No JSON;
30;Example 8;"A1: a + b = x01
M1: b * c = x02
A2: c + d = x03
M2: d * e = x04
M3: b * x02 = x05
A3: d + x04 = x06
A4: x01 + x05 = x07
M4: x03 * x06 = x08
M5: f * x07 = h
A5: x07 + x08 = i
A6: g + x08 = j";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 3
i = 7
j = 5";"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";"A1, A2, A5
A1, A2, A6
A1, A2, M5
A1, A3, A5
A1, A3, A6
A1, A3, M5
A1, A5, A6
A1, A5, M2
A1, A5, M4
A1, A6, M2
A1, A6, M4
A1, A6, M5
A1, M2, M5
A1, M4, M5
A2, A4, A5
A2, A4, A6
A2, A4, M5
A2, A5, M1
A2, A5, M3
A2, A5, M5
A2, A6, M1
A2, A6, M3
A2, A6, M5
A2, M1, M5
A2, M3, M5
A3, A4, A5
A3, A4, A6
A3, A4, M5
A3, A5, M1
A3, A5, M3
A3, A5, M5
A3, A6, M1
A3, A6, M3
A3, A6, M5
A3, M1, M5
A3, M3, M5
A4, A5, A6
A4, A5, M2
A4, A5, M4
A4, A6, M2
A4, A6, M4
A4, A6, M5
A4, M2, M5
A4, M4, M5
A5, A6, M1
A5, A6, M3
A5, A6, M5
A5, M1, M2
A5, M1, M4
A5, M2, M3
A5, M2, M5
A5, M3, M4
A5, M4, M5
A6, M1, M2
A6, M1, M4
A6, M1, M5
A6, M2, M3
A6, M2, M5
A6, M3, M4
A6, M3, M5
A6, M4, M5
M1, M2, M5
M1, M4, M5
M2, M3, M5
M3, M4, M5";;;No JSON;
31;Example 8;"A1: a + b = x01
M1: b * c = x02
A2: c + d = x03
M2: d * e = x04
M3: b * x02 = x05
A3: d + x04 = x06
A4: x01 + x05 = x07
M4: x03 * x06 = x08
M5: f * x07 = h
A5: x07 + x08 = i
A6: g + x08 = j";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 4
i = 7
j = 5";"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";"A1, A2, A5
A1, A2, A6
A1, A2, M5
A1, A3, A5
A1, A3, A6
A1, A3, M5
A1, A5, A6
A1, A5, M2
A1, A5, M4
A1, A6, M2
A1, A6, M4
A1, A6, M5
A1, M2, M5
A1, M4, M5
A2, A4, A5
A2, A4, A6
A2, A4, M5
A2, A5, M1
A2, A5, M3
A2, A5, M5
A2, A6, M1
A2, A6, M3
A2, A6, M5
A2, M1, M5
A2, M3, M5
A3, A4, A5
A3, A4, A6
A3, A4, M5
A3, A5, M1
A3, A5, M3
A3, A5, M5
A3, A6, M1
A3, A6, M3
A3, A6, M5
A3, M1, M5
A3, M3, M5
A4, A5, A6
A4, A5, M2
A4, A5, M4
A4, A6, M2
A4, A6, M4
A4, A6, M5
A4, M2, M5
A4, M4, M5
A5, A6, M1
A5, A6, M3
A5, A6, M5
A5, M1, M2
A5, M1, M4
A5, M2, M3
A5, M2, M5
A5, M3, M4
A5, M4, M5
A6, M1, M2
A6, M1, M4
A6, M1, M5
A6, M2, M3
A6, M2, M5
A6, M3, M4
A6, M3, M5
A6, M4, M5
M1, M2, M5
M1, M4, M5
M2, M3, M5
M3, M4, M5";"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A5, M2, M4, M5";"M5
A1, A5
A4, A5
A5, M1
A5, M3
A1, A2, A6
A1, A3, A6
A1, A6, M2
A1, A6, M4
A2, A4, A6
A2, A6, M1
A2, A6, M3
A3, A4, A6
A3, A6, M1
A3, A6, M3
A4, A6, M2
A4, A6, M4
A6, M1, M2
A6, M1, M4
A6, M2, M3
A6, M3, M4";No JSON;
32;Example 8;"A1: a + b = x01
M1: b * c = x02
A2: c + d = x03
M2: d * e = x04
M3: b * x02 = x05
A3: d + x04 = x06
A4: x01 + x05 = x07
M4: x03 * x06 = x08
M5: f * x07 = h
A5: x07 + x08 = i
A6: g + x08 = j";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 3
i = 6
j = 5";"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";"A1, A2, A5
A1, A2, A6
A1, A2, M5
A1, A3, A5
A1, A3, A6
A1, A3, M5
A1, A5, A6
A1, A5, M2
A1, A5, M4
A1, A6, M2
A1, A6, M4
A1, A6, M5
A1, M2, M5
A1, M4, M5
A2, A4, A5
A2, A4, A6
A2, A4, M5
A2, A5, M1
A2, A5, M3
A2, A5, M5
A2, A6, M1
A2, A6, M3
A2, A6, M5
A2, M1, M5
A2, M3, M5
A3, A4, A5
A3, A4, A6
A3, A4, M5
A3, A5, M1
A3, A5, M3
A3, A5, M5
A3, A6, M1
A3, A6, M3
A3, A6, M5
A3, M1, M5
A3, M3, M5
A4, A5, A6
A4, A5, M2
A4, A5, M4
A4, A6, M2
A4, A6, M4
A4, A6, M5
A4, M2, M5
A4, M4, M5
A5, A6, M1
A5, A6, M3
A5, A6, M5
A5, M1, M2
A5, M1, M4
A5, M2, M3
A5, M2, M5
A5, M3, M4
A5, M4, M5
A6, M1, M2
A6, M1, M4
A6, M1, M5
A6, M2, M3
A6, M2, M5
A6, M3, M4
A6, M3, M5
A6, M4, M5
M1, M2, M5
M1, M4, M5
M2, M3, M5
M3, M4, M5";"A5, A6, M5
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";"A5
A1, M5
A2, A6
A3, A6
A4, M5
A6, M2
A6, M4
M1, M5
M3, M5";No JSON;
33;Example 8;"A1: a + b = x01
M1: b * c = x02
A2: c + d = x03
M2: d * e = x04
M3: b * x02 = x05
A3: d + x04 = x06
A4: x01 + x05 = x07
M4: x03 * x06 = x08
M5: f * x07 = h
A5: x07 + x08 = i
A6: g + x08 = j";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 3
i = 7
j = 4";"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";"A1, A2, A5
A1, A2, A6
A1, A2, M5
A1, A3, A5
A1, A3, A6
A1, A3, M5
A1, A5, A6
A1, A5, M2
A1, A5, M4
A1, A6, M2
A1, A6, M4
A1, A6, M5
A1, M2, M5
A1, M4, M5
A2, A4, A5
A2, A4, A6
A2, A4, M5
A2, A5, M1
A2, A5, M3
A2, A5, M5
A2, A6, M1
A2, A6, M3
A2, A6, M5
A2, M1, M5
A2, M3, M5
A3, A4, A5
A3, A4, A6
A3, A4, M5
A3, A5, M1
A3, A5, M3
A3, A5, M5
A3, A6, M1
A3, A6, M3
A3, A6, M5
A3, M1, M5
A3, M3, M5
A4, A5, A6
A4, A5, M2
A4, A5, M4
A4, A6, M2
A4, A6, M4
A4, A6, M5
A4, M2, M5
A4, M4, M5
A5, A6, M1
A5, A6, M3
A5, A6, M5
A5, M1, M2
A5, M1, M4
A5, M2, M3
A5, M2, M5
A5, M3, M4
A5, M4, M5
A6, M1, M2
A6, M1, M4
A6, M1, M5
A6, M2, M3
A6, M2, M5
A6, M3, M4
A6, M3, M5
A6, M4, M5
M1, M2, M5
M1, M4, M5
M2, M3, M5
M3, M4, M5";"A5, A6, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3";"A6
A2, A5
A3, A5
A5, M2
A5, M4
A1, A2, M5
A1, A3, M5
A1, M2, M5
A1, M4, M5
A2, A4, M5
A2, M1, M5
A2, M3, M5
A3, A4, M5
A3, M1, M5
A3, M3, M5
A4, M2, M5
A4, M4, M5
M1, M2, M5
M1, M4, M5
M2, M3, M5
M3, M4, M5";No JSON;
34;Example 8;"A1: a + b = x01
M1: b * c = x02
A2: c + d = x03
M2: d * e = x04
M3: b * x02 = x05
A3: d + x04 = x06
A4: x01 + x05 = x07
M4: x03 * x06 = x08
M5: f * x07 = h
A5: x07 + x08 = i
A6: g + x08 = j";"a = 1
b = 1
c = 1
d = 1
e = 1
f = 1
g = 1
h = 4
i = 6
j = 4";"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A1, A4, A5, A6, M1, M3
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";"A1, A2, A5
A1, A2, A6
A1, A2, M5
A1, A3, A5
A1, A3, A6
A1, A3, M5
A1, A5, A6
A1, A5, M2
A1, A5, M4
A1, A6, M2
A1, A6, M4
A1, A6, M5
A1, M2, M5
A1, M4, M5
A2, A4, A5
A2, A4, A6
A2, A4, M5
A2, A5, M1
A2, A5, M3
A2, A5, M5
A2, A6, M1
A2, A6, M3
A2, A6, M5
A2, M1, M5
A2, M3, M5
A3, A4, A5
A3, A4, A6
A3, A4, M5
A3, A5, M1
A3, A5, M3
A3, A5, M5
A3, A6, M1
A3, A6, M3
A3, A6, M5
A3, M1, M5
A3, M3, M5
A4, A5, A6
A4, A5, M2
A4, A5, M4
A4, A6, M2
A4, A6, M4
A4, A6, M5
A4, M2, M5
A4, M4, M5
A5, A6, M1
A5, A6, M3
A5, A6, M5
A5, M1, M2
A5, M1, M4
A5, M2, M3
A5, M2, M5
A5, M3, M4
A5, M4, M5
A6, M1, M2
A6, M1, M4
A6, M1, M5
A6, M2, M3
A6, M2, M5
A6, M3, M4
A6, M3, M5
A6, M4, M5
M1, M2, M5
M1, M4, M5
M2, M3, M5
M3, M4, M5";"A5, A6, M5
A1, A4, M1, M3, M5
A2, A3, A6, M2, M4
A2, A3, A5, M2, M4, M5
A1, A2, A3, A4, A5, M1, M2, M3, M4";"A2, M5
A3, M5
M2, M5
M4, M5
A1, A2, A5
A1, A2, A6
A1, A3, A5
A1, A3, A6
A1, A5, A6
A1, A5, M2
A1, A5, M4
A1, A6, M2
A1, A6, M4
A1, A6, M5
A2, A4, A5
A2, A4, A6
A2, A5, M1
A2, A5, M3
A2, A6, M1
A2, A6, M3
A3, A4, A5
A3, A4, A6
A3, A5, M1
A3, A5, M3
A3, A6, M1
A3, A6, M3
A4, A5, A6
A4, A5, M2
A4, A5, M4
A4, A6, M2
A4, A6, M4
A4, A6, M5
A5, A6, M1
A5, A6, M3
A5, A6, M5
A5, M1, M2
A5, M1, M4
A5, M2, M3
A5, M3, M4
A6, M1, M2
A6, M1, M4
A6, M1, M5
A6, M2, M3
A6, M3, M4
A6, M3, M5";No JSON;
